Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
software development,Informational,18100,"0.66,0.66,0.54,0.66,0.66,0.66,1.00,0.54,0.54,0.44,0.54,0.44",76,8.74,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches, Things to know"
algorithms,Informational,14800,"0.67,0.81,1.00,0.67,0.44,0.54,0.81,0.67,0.54,1.00,0.81,0.54",84,0.17,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
python coding,"Informational, Navigational",14800,"0.66,0.54,0.54,0.66,1.00,0.54,0.54,0.43,0.66,0.66,0.66,0.66",100,2.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know, Ads bottom, Ads middle"
crawling,"Informational, Transactional",12100,"0.36,0.24,0.24,1.00,0.24,0.29,0.29,0.36,0.36,0.24,0.29,0.36",69,1.27,"Image pack, Video, Featured video, Video carousel, People also ask, Knowledge panel, Related searches"
data mining,Informational,12100,"0.82,1.00,1.00,1.00,1.00,0.82,0.66,0.66,0.66,0.66,0.82,0.66",45,6.34,"Sitelinks, AI Overview, Video, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
workflow automation,Informational,12100,"0.10,0.08,0.08,0.10,0.10,0.13,0.13,0.29,0.13,1.00,0.16,0.54",55,13.32,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know, Ads bottom, Ads middle"
web scraper,Informational,8100,"0.19,0.36,0.29,0.24,0.36,1.00,0.66,0.16,0.29,0.16,0.13,0.07",59,3.49,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
computer programming,Informational,6600,"0.55,1.00,1.00,0.67,0.82,1.00,0.55,0.44,0.67,0.67,0.82,0.55",75,6.67,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
beautifulsoup,Informational,5400,"0.81,1.00,0.81,0.81,1.00,0.67,0.81,0.81,0.67,0.81,0.81,0.67",68,1.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
data collection,Informational,5400,"0.66,0.66,0.66,0.66,0.81,0.81,0.54,0.54,0.66,1.00,0.66,0.81",53,5.62,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
python script,Navigational,4400,"0.66,0.81,1.00,0.81,0.54,0.66,0.66,0.54,0.66,0.81,0.81,0.66",45,2.09,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches, Things to know, Ads bottom"
scrapy,Navigational,4400,"0.81,1.00,0.66,0.81,0.81,1.00,0.81,0.66,0.54,0.66,0.43,0.43",66,3.34,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches"
scripting,Informational,4400,"1.00,0.54,0.77,0.77,0.62,0.62,0.77,0.62,0.77,0.62,1.00,0.54",49,1.68,"Sitelinks, AI Overview, Instant answer, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
business automation,Informational,3600,"0.66,0.54,0.28,0.43,0.43,0.66,0.54,1.00,0.54,0.28,0.66,0.81",54,3.30,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
custom software,Informational,3600,"1.00,0.81,0.66,0.81,0.66,0.81,0.66,0.81,0.81,0.53,0.29,0.29",45,15.89,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
python flask,"Informational, Navigational",3600,"0.67,1.00,0.81,0.81,0.67,0.81,0.67,0.54,0.35,0.54,0.54,0.67",79,3.19,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
python web scraping,Informational,3600,"0.08,0.13,0.10,0.10,0.16,1.00,0.08,0.03,0.10,0.05,0.04,0.03",38,1.40,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
web crawler,Informational,3600,"0.81,0.67,0.54,0.67,0.67,1.00,0.67,0.44,0.44,0.67,0.44,0.54",57,3.05,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, See results about"
n8n ai agent,Informational,2900,"0.04,0.29,0.43,0.54,0.54,1.00,1.00,0.81,0.81,0.81,0.65,0.36",75,5.71,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Ads bottom"
python projects,Informational,2900,"0.65,0.65,0.82,1.00,0.65,0.55,0.65,0.65,0.42,0.42,0.42,0.42",50,1.22,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches"
data scraping,Informational,2400,"0.88,0.88,0.88,0.88,1.00,1.00,1.00,0.88,0.88,1.00,1.00,0.88",56,6.09,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about"
code review,"Informational, Commercial",1900,"0.66,0.66,0.66,1.00,0.79,0.79,0.79,1.00,0.79,0.79,1.00,1.00",78,3.82,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know, Ads bottom"
data extraction,Informational,1900,"0.79,0.79,0.66,1.00,0.79,1.00,0.66,0.66,0.66,0.79,0.66,1.00",49,6.99,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Things to know"
data scraper,Informational,1900,"0.79,1.00,0.79,0.67,0.67,0.67,0.55,0.67,0.79,0.67,0.79,1.00",58,6.09,"AI Overview, Video, Short videos, People also ask, Related searches, See results about, Things to know"
n8n automation,"Informational, Navigational",1900,"0.03,0.04,0.13,0.22,0.20,0.29,0.36,0.43,0.81,0.81,1.00,0.81",75,3.93,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
n8n workflow,"Informational, Navigational",1900,"0.07,0.13,0.34,0.55,0.55,0.82,0.65,1.00,1.00,1.00,1.00,1.00",87,2.48,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
google maps scraper,Commercial,1600,"0.54,0.79,0.41,0.66,0.66,0.66,0.79,1.00,0.54,0.54,0.66,0.54",44,2.46,"Sitelinks, Video, Video carousel, Related searches, Ads top, Ads bottom"
make automation,"Navigational, Commercial",1600,"0.34,0.44,1.00,0.65,0.65,0.55,0.55,0.55,0.55,0.44,0.55,0.44",54,4.54,"Sitelinks, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
n8n workflow automation,Navigational,1600,"0.00,0.01,0.01,0.10,0.22,0.54,0.65,0.54,0.36,0.65,1.00,0.36",64,4.72,"Sitelinks, Video, Video carousel, People also ask, Related searches"
python django,Navigational,1600,"0.84,1.00,0.84,1.00,0.84,0.84,0.84,0.84,0.84,0.84,0.67,0.51",76,2.47,"Sitelinks, AI Overview, Video, Video carousel, Knowledge panel, Related searches"
python program,Navigational,1600,"0.83,1.00,0.34,0.54,0.83,0.46,0.83,0.34,0.54,0.66,0.29,0.54",79,1.86,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
python scripting,Informational,1600,"1.00,0.69,0.69,0.69,0.69,0.69,0.52,0.69,0.85,0.69,0.85,0.85",35,1.91,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
linkedin scraping,Informational,1300,"0.04,0.13,0.05,0.10,0.35,1.00,1.00,0.08,0.10,0.08,0.10,0.07",26,6.17,"Sitelinks, Video, People also ask, Related searches"
python developer,"Informational, Commercial",1300,"0.85,0.68,1.00,0.68,1.00,1.00,0.68,0.85,0.68,0.68,0.52,0.37",71,5.85,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Jobs, Related searches, Things to know, Ads bottom, Ads middle"
python fastapi,Informational,1300,"0.81,0.81,0.81,1.00,0.81,1.00,0.81,1.00,0.55,1.00,0.81,0.62",60,2.87,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
python scripts,Informational,1300,"0.45,0.61,0.61,1.00,0.82,0.82,0.82,0.82,0.55,1.00,0.82,0.61",45,1.90,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads middle"
data automation,Informational,1000,"0.46,0.69,0.51,0.51,0.51,0.69,0.46,1.00,0.83,0.29,0.37,0.20",41,6.76,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Knowledge panel, Related searches, Ads bottom"
python automation,Informational,1000,"0.37,0.68,0.46,0.52,0.52,0.46,0.52,1.00,0.46,0.68,0.68,0.46",32,2.28,"Sitelinks, Video, People also ask, Related searches, Things to know"
python coder,Commercial,1000,"0.24,0.41,1.00,0.37,0.54,0.41,0.15,0.41,0.41,0.54,0.37,0.54",89,2.05,"Sitelinks, Video, People also ask, Related searches, Things to know"
python project,Informational,1000,"1.00,1.00,0.68,1.00,0.55,0.68,0.45,0.77,0.77,0.36,0.68,0.68",32,1.38,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches"
task automation,Informational,1000,"0.24,0.24,0.24,0.30,0.24,0.11,0.44,1.00,0.44,0.44,0.34,0.34",33,11.28,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
website scraping,Informational,1000,"0.46,0.29,0.29,0.29,0.11,1.00,0.14,0.54,0.20,0.20,0.20,0.20",69,3.49,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
excel automation,Informational,880,"0.36,0.30,0.36,0.20,0.41,0.30,0.24,1.00,0.30,0.30,0.30,0.30",28,4.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
zapier automation,"Informational, Navigational",880,"0.31,0.46,0.31,0.37,0.37,0.25,0.31,1.00,0.46,0.37,0.52,0.37",41,6.43,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
python scraping,Informational,720,"0.02,0.31,0.15,0.05,0.11,0.08,1.00,0.34,0.02,0.34,0.00,0.45",37,1.40,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
data extractor,Informational,590,"0.45,1.00,0.67,0.55,0.55,0.45,0.30,0.36,0.36,0.45,0.30,0.45",40,6.99,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches, Things to know"
python debug,Informational,590,"0.77,1.00,0.56,0.44,0.25,0.56,0.25,0.16,0.44,0.56,0.37,0.44",69,2.50,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, Ads bottom"
selenium automation,Navigational,590,"0.47,1.00,0.88,0.72,0.72,0.47,0.72,0.47,0.47,0.47,0.47,0.39",54,5.85,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
web automation,Informational,590,"0.68,0.84,1.00,0.84,0.68,0.68,1.00,0.84,0.84,0.68,0.68,0.43",50,8.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
python debugging,Informational,480,"0.65,1.00,0.65,0.55,0.65,0.36,0.65,0.44,0.29,0.55,0.82,0.65",61,3.07,"Sitelinks, AI Overview, Video, Related searches"
python backend,Informational,390,"0.67,0.82,0.67,1.00,0.82,0.55,0.82,0.82,0.82,0.67,0.82,0.82",36,2.45,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Things to know"
python web app,Informational,390,"0.54,0.54,0.83,1.00,0.54,0.44,0.54,0.54,0.23,0.54,0.36,0.36",35,3.71,"Sitelinks, Video, People also ask, Related searches"
python development,"Informational, Transactional",320,"0.83,1.00,1.00,1.00,0.83,0.83,0.56,0.56,0.22,0.67,0.36,0.14",91,5.07,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
python programmer,Informational,320,"0.65,0.25,0.80,0.20,0.15,0.15,0.15,0.35,1.00,0.35,0.80,0.40",54,1.86,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom"
automation developer,Informational,210,"0.35,0.35,0.43,0.35,0.35,0.53,0.43,0.43,0.43,0.43,1.00,0.66",13,10.71,"Sitelinks, AI Overview, Video, People also ask, Related searches"
google maps scraping,"Informational, Transactional",210,"0.08,0.43,0.18,0.18,0.22,0.43,0.22,1.00,0.81,0.29,0.66,0.81",35,3.22,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Ads bottom"
google sheets automation,Informational,210,"0.65,0.80,0.65,0.80,0.80,1.00,0.65,1.00,0.65,0.65,0.80,0.65",47,5.63,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
n8n chatbot,"Informational, Transactional",210,"0.07,0.12,0.28,0.43,0.82,0.66,0.82,0.66,0.53,0.66,1.00,0.35",54,6.36,"Sitelinks, Image pack, Video, Video carousel, Related searches, Ads bottom"
n8n web scraping,Informational,210,"0.03,0.13,0.20,0.43,0.43,0.67,0.43,0.67,0.43,0.67,1.00,0.33",33,3.51,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
code optimization,Informational,170,"0.80,0.19,0.80,1.00,0.80,0.80,0.65,0.65,0.65,0.65,0.54,0.54",29,4.84,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Things to know, Ads bottom"
email scraping,Informational,170,"0.44,0.53,0.34,0.53,0.34,0.44,0.34,1.00,0.66,0.66,0.28,0.00",19,9.70,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches, Ads bottom, Ads middle"
lead scraping,"Informational, Commercial",170,"0.21,0.03,0.09,0.34,0.28,0.65,0.00,1.00,1.00,0.43,0.81,0.06",24,18.93,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
n8n ai automation,Navigational,170,"0.05,0.05,0.05,0.12,0.43,1.00,0.66,0.66,0.43,0.53,0.66,0.23",75,5.47,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom, Ads middle"
debug python code,Informational,140,"0.65,1.00,1.00,0.82,1.00,0.82,0.52,0.40,0.65,0.82,0.65,0.52",61,2.86,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
google map scraping,Informational,140,"0.00,0.82,0.00,1.00,0.03,0.03,0.12,0.27,0.65,0.15,0.00,0.03",23,3.22,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Ads bottom"
python bot,Informational,140,"0.64,1.00,0.81,0.81,0.17,0.00,0.17,0.53,0.53,0.53,0.14,0.42",42,2.76,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ecommerce scraping,Informational,110,"0.03,0.05,0.05,0.05,0.05,0.06,0.03,1.00,0.66,0.28,0.01,0.03",21,7.32,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
automation script,Informational,90,"0.23,0.32,0.81,0.19,0.19,1.00,0.66,0.23,1.00,0.53,0.00,0.13",38,5.28,"Sitelinks, Image pack, Video, People also ask, Related searches"
web data mining,Informational,90,"0.11,0.65,1.00,0.82,0.52,0.82,0.11,0.11,0.11,0.82,0.11,0.82",19,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
n8n youtube automation,"Informational, Transactional",70,"0.11,0.11,0.11,0.29,0.29,0.64,0.52,0.64,0.29,1.00,0.82,0.41",36,3.61,"Sitelinks, Image pack, Video, Video carousel, Short videos, Related searches"
n8n api integration,Informational,50,"0.00,0.14,0.14,0.21,0.50,0.78,0.78,1.00,0.28,0.35,0.35,0.14",33,7.36,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
n8n video automation,"Informational, Transactional",40,"0.00,0.00,1.00,0.29,0.29,0.29,0.23,0.23,0.11,0.23,0.23,0.11",34,0.00,"Sitelinks, Video, Video carousel, Related searches, Ads top, Ads bottom"
web extraction,Informational,40,"0.44,0.55,0.11,0.77,1.00,0.55,0.33,0.55,0.22,0.11,0.22,0.33",91,2.71,"Video, Video carousel, People also ask, Related searches, Ads bottom"
n8n whatsapp automation,"Informational, Transactional",30,"0.00,0.00,0.22,0.22,0.22,0.55,0.55,0.22,0.55,1.00,0.22,0.33",29,6.51,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
python web developer,Informational,30,"0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,1.00,0.71",49,10.50,"Sitelinks, Video, Video carousel, Related searches, Ads middle"
n8n expert,Informational,20,"0.40,0.40,0.40,0.40,0.40,0.40,1.00,0.80,0.40,0.60,0.20,0.60",16,7.44,"Sitelinks, Video carousel, Related searches, Ads top, Ads bottom"
n8n whatsapp chatbot,"Informational, Transactional",20,"0.00,0.25,0.50,0.50,0.50,0.75,0.50,1.00,0.75,0.50,1.00,0.50",24,4.57,"Sitelinks, Video, Video carousel, Short videos, Related searches"
custom python script,Informational,10,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",25,0.00,"Sitelinks, Video carousel, Related searches"
google map data scraping,Informational,10,"0.64,0.64,0.00,0.00,0.64,1.00,0.00,0.29,0.64,0.29,0.29,0.64",27,0.00,"Sitelinks, Image pack, Video carousel, Related searches"
n8n automation specialist,Informational,10,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00",7,11.02,"Sitelinks, Video carousel, Related searches"
fix python error,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",11,0.00,"Sitelinks, Video carousel, Related searches, Ads bottom"
n8n wordpress automation,"Informational, Transactional",0,"0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",9,3.93,"Sitelinks, Video carousel, Related searches"
python bug fix,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00",26,0.00,"Sitelinks, Video carousel, Discussions and forums, Related searches, Ads top, Ads bottom"
ai n8n zapier,Commercial,,,25,,"Sitelinks, Video carousel, Related searches"
custom n8n automation,"Informational, Transactional",,,60,,"Sitelinks, Video carousel, Related searches"
custom python,"Informational, Transactional",,,36,,"Sitelinks, Video carousel, Related searches, Ads bottom"
fix python errors,Informational,,,29,,"Sitelinks, Video carousel, Related searches"
ai,Informational,2240000,"0.13,0.16,0.24,0.24,0.20,0.24,0.20,0.16,0.29,0.44,0.54,1.00",100,1.39,"Video, Video carousel, People also ask, Things to know"
gpt,Informational,1500000,"0.20,0.16,0.24,1.00,0.16,0.20,0.29,0.24,0.29,0.54,0.66,0.36",92,0.08,"Video, People also ask, Knowledge panel, Top stories, Related searches, Things to know, Ads top"
claude ai,Informational,550000,"0.55,0.36,0.67,0.55,0.55,0.45,0.67,0.45,0.67,0.55,0.67,1.00",85,1.03,"Video, Video carousel, People also ask, Knowledge panel, Top stories, Related searches, Things to know, Ads top, Ads bottom"
web development,Informational,301000,"0.01,0.00,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.66,1.00",90,8.90,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
wordpress,Navigational,201000,"0.82,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82",100,2.61,"Sitelinks, Video, People also ask, Related searches, See results about"
api,Informational,135000,"0.44,0.54,0.54,0.54,0.54,0.54,0.44,0.44,0.44,0.44,0.44,1.00",98,3.21,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about"
django,Informational,110000,"0.81,0.81,1.00,0.81,0.81,0.67,0.67,0.81,0.67,0.81,0.67,0.81",88,3.31,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches, See results about, Things to know"
rag,Informational,110000,"0.06,0.04,0.04,0.04,0.04,0.06,0.04,0.07,0.06,0.10,0.04,1.00",97,2.53,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
ollama,Navigational,90500,"0.24,0.54,1.00,0.44,0.44,0.44,0.30,0.24,0.36,0.30,0.30,0.24",75,4.21,"Sitelinks, Video, Video carousel, People also ask, Related searches"
saas,Informational,90500,"0.67,0.83,0.67,0.83,1.00,0.83,0.83,0.83,0.67,0.67,0.67,0.54",75,4.36,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
agentic ai,Informational,74000,"0.24,0.67,0.55,0.67,0.67,0.82,0.82,0.82,0.82,1.00,0.82,0.82",80,10.24,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
ai chatbot,Commercial,74000,"0.67,0.83,0.56,1.00,0.56,0.56,0.37,0.56,0.67,0.67,1.00,1.00",100,0.83,"AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
langchain,Navigational,74000,"0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.11,0.20,0.13,1.00",83,2.59,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
llm,Informational,74000,"0.44,0.81,1.00,0.66,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81",100,2.92,"AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Top stories, Related searches, Things to know"
machine learning,Informational,60500,"0.36,0.36,0.36,0.45,0.45,0.45,0.36,0.82,1.00,0.67,0.67,0.67",100,3.29,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
chatbot,Commercial,49500,"0.54,0.54,0.67,0.67,0.67,0.54,0.54,1.00,0.67,0.67,0.54,0.45",96,1.23,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, See results about, Things to know"
flask,"Informational, Navigational",49500,"1.00,1.00,1.00,0.82,1.00,0.82,0.67,0.82,1.00,1.00,0.82,0.82",77,0.38,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
generative ai,Informational,49500,"0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.65,0.82,0.82,0.82",89,3.19,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know, Ads bottom, Ads middle"
php,Informational,49500,"0.67,0.81,0.54,0.67,0.54,0.67,0.54,0.67,0.54,0.54,0.54,1.00",100,6.91,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
openai api,Navigational,40500,"0.67,0.81,0.81,0.81,0.81,1.00,0.67,0.67,0.81,0.81,0.81,0.54",100,15.40,"Sitelinks, Video, People also ask, Related searches"
ai agents,Informational,33100,"0.54,1.00,0.66,0.81,0.54,0.66,0.54,0.66,0.54,0.44,0.54,0.44",92,10.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Top stories, Related searches, See results about, Things to know, Ads bottom, Ads middle"
gpt 4,Informational,33100,"0.62,0.54,0.54,0.85,1.00,1.00,0.85,0.54,0.62,0.31,0.31,0.31",87,0.67,"Video, People also ask, Knowledge panel, Related searches, Things to know"
woocommerce,"Navigational, Commercial",27100,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82",94,4.83,"Sitelinks, Video, Video carousel, People also ask, Related searches, See results about"
langgraph,Navigational,22200,"0.36,0.44,0.67,0.67,0.67,0.81,0.81,1.00,0.81,0.81,0.81,0.67",53,3.60,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Things to know"
lead generation,Informational,22200,"0.66,0.81,0.66,1.00,0.81,0.66,0.81,0.81,0.81,0.66,0.66,0.81",75,14.63,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
prompt engineering,Informational,22200,"0.67,0.81,1.00,0.81,0.81,1.00,1.00,1.00,1.00,0.81,0.81,0.67",91,2.87,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
rest api,Informational,22200,"0.67,1.00,0.67,0.81,1.00,0.81,0.81,0.81,0.67,0.67,0.67,0.67",84,2.88,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
scrape,Informational,22200,"0.82,1.00,0.82,0.66,1.00,0.66,0.66,0.82,0.66,0.66,0.55,0.82",62,3.88,"Image pack, Video, People also ask, Knowledge panel, Related searches"
web app,Informational,22200,"0.36,0.44,0.36,0.44,0.36,0.54,0.44,0.44,0.54,1.00,0.54,0.66",96,4.35,"Sitelinks, Video, People also ask, Related searches"
ai agent,Informational,18100,"0.81,0.81,0.66,0.81,0.81,1.00,0.81,1.00,0.66,0.66,0.81,0.66",96,10.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Top stories, Related searches, See results about, Things to know, Ads top, Ads bottom"
ai apps,Informational,18100,"0.44,0.54,0.44,0.54,0.54,0.36,0.44,0.44,0.54,0.54,0.67,1.00",74,2.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
fastapi,Navigational,18100,"0.66,0.66,0.66,1.00,0.81,1.00,0.66,0.81,1.00,0.66,0.81,0.81",59,2.18,"Sitelinks, Image, Video, People also ask, Related searches"
gen ai,Informational,18100,"0.66,1.00,1.00,0.81,0.81,0.81,0.66,0.66,0.66,0.66,0.66,0.66",83,3.32,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know, Ads bottom, Ads middle"
wordpress website,"Navigational, Commercial",14800,"1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81",100,5.12,"Sitelinks, Video, Video carousel, People also ask, Related searches, Things to know"
